# Generation      Maximum Fitness      Average Fitness      Minimum Fitness
430                4.9225607621         4.8059976302         4.3741912003
431                4.9225607621         4.7945941601         4.0464215988
432                4.9225607621         4.7878314817         4.0464215988
433                4.9225607621         4.8365962379         4.7927864112
434                4.9225607621         4.8353891107         4.2539321805
435                4.9225607621         4.8034797825         3.9805461384
436                4.9225607621         4.8583418869         4.5011154841
437                4.9225607621         4.8493362336         4.1040605494
438                4.9225607621         4.8241652798         3.9670295469
439                4.9225607621         4.8222659007         3.9695666312
440                4.9225607621         4.8387148231         4.1068519983
441                4.9225607621         4.8498866325         4.8211758993
442                4.9225607621         4.8471872823         4.0062186224
443                4.9225607621         4.8132372798         4.0062186224
444                4.9225607621         4.7951848939         4.2622064810
445                4.9225607621         4.8309805678         4.2622064810
446                4.9225607621         4.8131257435         3.8525250607
447                4.9225607621         4.8404215296         4.1037677633
448                4.9225607621         4.8120941867         4.0568215529
449                4.9225607621         4.8318769203         3.6023719057
450                4.9225607621         4.8273731639         3.9698783182
451                4.9225607621         4.8269640021         4.1943998794
452                4.9225607621         4.8210708968         4.1683409489
453                4.9225607621         4.8245157610         4.1263996911
454                4.9225607621         4.8236216972         4.1263996911
455                4.9225607621         4.8123068022         4.1263996911
456                4.9225607621         4.8104945016         3.9343196843
457                4.9225607621         4.8052512153         3.5377455012
458                4.9225607621         4.7902746018         4.0695545542
459                4.9225607621         4.8097410366         4.5682073310
460                4.9225607621         4.8274182113         4.5082406939
461                4.9225607621         4.8236963546         4.3207559890
462                4.9225607621         4.8341726058         4.2167877748
463                4.9225607621         4.8079459209         4.1450110733
464                4.9225607621         4.8255761720         4.0574116686
465                4.9225607621         4.8276123193         4.3696413731
466                4.9225607621         4.8425465520         4.3035668530
467                4.9225607621         4.8290076104         4.1237898593
468                4.9225607621         4.8418711098         4.2755640761
469                4.9225607621         4.8536331931         4.2091303775
470                4.9225607621         4.8090574002         4.1572186766
471                4.9225607621         4.8298514342         3.9650511333
472                4.9225607621         4.8664224511         4.1616866330
473                4.9225607621         4.8654663317         3.9713818141
474                4.9225607621         4.8486023276         3.9741124290
475                4.9225607621         4.8839214673         4.6646556495
476                4.9225607621         4.8856284543         4.8211758993
477                4.9225607621         4.8853078627         4.4768528868
478                4.9225607621         4.8931077788         4.8489725374
479                4.9225607621         4.8944883671         4.8924253232
480                4.9225607621         4.8944883671         4.8924253232
481                4.9225607621         4.8859142943         4.4637216815
482                4.9225607621         4.8758418430         3.9858443509
483                4.9225607621         4.8657969354         3.9920589531
484                4.9225607621         4.8713502038         4.4097105703
485                4.9225607621         4.8532725122         4.0130439205
486                4.9225607621         4.8652583531         4.1020236926
487                4.9225607621         4.8607178446         4.0124048011
488                4.9225607621         4.8727469997         4.1816215296
489                4.9225607621         4.8867647330         4.6084945582
490                4.9225607621         4.8532063808         4.0271245781
491                4.9225607621         4.8810681676         4.4866063644
492                4.9225607621         4.8822881557         4.3339052173
493                4.9225607621         4.8623629696         4.0596895161
494                4.9225607621         4.8944021837         4.8666800911
495                4.9225607621         4.8888463895         4.5828927287
496                4.9225607621         4.8585254216         3.9456149560
497                4.9225607621         4.8592869906         3.5783762156
498                4.9225607621         4.8643722507         4.2595004937
499                4.9225607621         4.8563291627         4.0812860647
500                4.9225607621         4.8846885978         4.3402853168
501                4.9225607621         4.8831291780         4.2897503468
502                4.9225607621         4.8830831319         4.4546827795
503                4.9225607621         4.8597182792         3.9162007761
504                4.9225607621         4.8925537053         4.7874808605
505                4.9225607621         4.8885322923         4.5449003484
506                4.9225607621         4.8471960682         4.0637469247
