# Generation      Maximum Fitness      Average Fitness      Minimum Fitness
119                4.8443712954         4.6864591860         3.8684815488
120                4.8443712954         4.7350471618         3.8684815488
121                4.8443712954         4.7202448343         3.8684815488
122                4.8443712954         4.6648032780         3.8684815488
123                4.8443712954         4.6496750509         3.6338194919
124                4.8443712954         4.6522920040         3.6338194919
125                4.8443712954         4.7045214343         3.8684815488
126                4.8443712954         4.6613683443         3.7982496067
127                4.8443712954         4.6871819543         3.8684815488
128                4.8443712954         4.7017833218         4.1059688984
129                4.8443712954         4.7256466382         4.1059688984
130                4.8443712954         4.7160434765         3.9272156829
131                4.8443712954         4.7125119602         3.7772133824
132                4.8443712954         4.6898035823         4.0461409381
133                4.8443712954         4.6909169336         4.1298074275
134                4.8443712954         4.7354531098         4.0139549710
135                4.8443712954         4.7243751329         4.0696018923
136                4.8443712954         4.6944631795         3.9528443902
137                4.8443712954         4.6749843608         3.9528443902
138                4.8443712954         4.6924715175         3.7073635627
139                4.8443712954         4.7330914633         3.9569902276
140                4.8443712954         4.7290030193         4.0459230211
141                4.8443712954         4.7077564617         3.9368497612
142                4.8443712954         4.6558509392         3.9222587912
143                4.8443712954         4.7629962882         3.9344574189
144                4.8443712954         4.7558581765         3.9263611650
145                4.8523758713         4.8148284038         4.4831281858
146                4.8523758713         4.8032835163         4.1098238740
147                4.8523758713         4.7796901513         4.1372160843
148                4.8523758713         4.8026450692         4.1150260343
149                4.8523758713         4.7834586492         3.8861582206
150                4.8523758713         4.8016145627         3.8886038834
151                4.8523758713         4.7941153731         4.0483337983
152                4.8523758713         4.7840454512         3.5777222819
153                4.8526725334         4.8172008511         4.2801051892
154                4.8526725334         4.7746966158         4.2479953463
155                4.8551181962         4.7682153717         4.2479953463
156                4.8551181962         4.7444239554         3.9367549821
157                4.8551181962         4.7561620839         3.3194390273
158                4.8551181962         4.7973679954         4.1559774419
159                4.8551181962         4.8322041070         4.5013744109
160                4.8667613055         4.8331435550         4.4231316728
161                4.8907748945         4.7481568478         3.6815447305
162                4.8959628821         4.8188992359         4.0941213680
163                4.8959628821         4.8311447837         4.0913790432
164                4.8959628821         4.8234391572         4.0622514913
165                4.8959628821         4.7869302314         4.1030961773
166                4.8959628821         4.7536297911         3.9135582913
167                4.8959628821         4.7809961374         3.9740663952
168                4.8959628821         4.7703861949         3.4689453810
169                4.8959628821         4.8059873448         3.9013508042
170                4.8959628821         4.8308699249         3.7013425761
171                4.8959628821         4.8447147286         3.9573945565
172                4.8959628821         4.8494979538         4.1604274449
173                4.8959628821         4.7881752577         4.1604274449
174                4.8959628821         4.8337885195         4.1631697697
175                4.8959628821         4.8612379454         4.1631697697
176                4.8959628821         4.8058107316         3.9967600200
177                4.8959628821         4.7807486241         4.0260257218
178                4.8959628821         4.7977357288         3.5896257071
179                4.8959628821         4.7686715123         3.2932326095
180                4.8959628821         4.7926132805         3.2932326095
181                4.8959628821         4.8565480932         4.1631697697
182                4.8959628821         4.8330387240         4.1268086162
183                4.8959628821         4.8510419109         4.1268086162
184                4.8959628821         4.8267082516         4.1833934661
185                4.8959628821         4.8416371372         4.1972467609
186                4.8959628821         4.8324871086         3.8847456806
187                4.8959628821         4.7726723495         3.4172714163
188                4.8959628821         4.8291896334         4.0623555782
189                4.9073916297         4.8432776596         4.3125364410
190                4.9073916297         4.8416728097         4.2028546707
191                4.9073916297         4.8096827709         4.3125364410
192                4.9073916297         4.8369156703         4.2615275281
193                4.9073916297         4.8212672629         4.2615275281
194                4.9073916297         4.8391548365         4.5604375024
195                4.9073916297         4.8220265143         4.0857936709
196                4.9073916297         4.8311786338         4.1453240334
197                4.9073916297         4.8378620890         4.1453240334
198                4.9073916297         4.8249034784         4.0514405556
199                4.9073916297         4.8631521131         4.4568910400
200                4.9073916297         4.8371562615         3.9865572847
201                4.9073916297         4.8272055088         4.1390833551
202                4.9073916297         4.8351125276         4.1390833551
203                4.9073916297         4.8618150658         4.4344696026
204                4.9073916297         4.8238824499         4.0421798811
205                4.9073916297         4.8274182553         4.0421798811
206                4.9073916297         4.8353728066         4.4344696026
207                4.9073916297         4.8451484802         4.4705525935
208                4.9073916297         4.8008419601         4.1562765252
209                4.9073916297         4.8482834293         4.3560078306
210                4.9073916297         4.8463235416         4.4774964114
211                4.9073916297         4.8674980552         4.4660676638
212                4.9073916297         4.8358924787         3.9259914549
213                4.9073916297         4.8512479926         3.9491852416
214                4.9073916297         4.8565009067         4.4989344951
215                4.9073916297         4.8158401961         4.2224901034
216                4.9073916297         4.8032630587         4.0364241771
217                4.9073916297         4.7909396251         3.8982704199
218                4.9073916297         4.7412787276         3.8868416724
219                4.9073916297         4.7764646154         3.9834213621
220                4.9073916297         4.7820311862         3.9834213621
221                4.9073916297         4.7997165978         4.2369855242
222                4.9073916297         4.8198843714         4.4183187719
223                4.9073916297         4.8526088508         4.5389187968
224                4.9073916297         4.8424566505         4.0623157100
225                4.9073916297         4.8234566919         4.0128271496
226                4.9073916297         4.7993169575         4.2091689945
227                4.9073916297         4.7502723915         3.4012286623
228                4.9073916297         4.7907933988         4.0242558972
229                4.9073916297         4.8087155301         3.9875073079
230                4.9073916297         4.8408198679         4.2042439257
231                4.9073916297         4.7744107160         3.4196712315
232                4.9073916297         4.8169388231         3.5433978140
233                4.9073916297         4.8715071014         4.3396460092
234                4.9073916297         4.8526004407         4.0086683802
235                4.9073916297         4.8267871853         3.9306849129
236                4.9073916297         4.8171875020         4.2595682613
237                4.9073916297         4.8313618273         4.2595682613
238                4.9073916297         4.8264946782         3.9026080965
239                4.9073916297         4.8249109675         3.9597059504
240                4.9073916297         4.8207786841         4.0596049171
241                4.9073916297         4.8442123854         4.0596049171
242                4.9073916297         4.8024602826         4.0596049171
243                4.9073916297         4.7373678211         3.9620261318
244                4.9073916297         4.7680122494         3.9809909787
245                4.9073916297         4.8085445646         4.0943759967
246                4.9073916297         4.7811939044         3.7804498648
247                4.9073916297         4.7675071619         3.8262736324
248                4.9073916297         4.8139681626         4.1013532706
249                4.9073916297         4.7819940648         4.1683984639
250                4.9073916297         4.7696596536         3.8262736324
251                4.9073916297         4.7496519893         3.8262736324
252                4.9073916297         4.7711428998         3.8262736324
253                4.9073916297         4.7931483710         3.8262736324
254                4.9073916297         4.8187770490         4.0809219455
255                4.9073916297         4.8138903609         3.8985730814
256                4.9073916297         4.8658922433         4.2594266455
257                4.9073916297         4.8647575020         4.4470707790
258                4.9073916297         4.8753425963         4.3007762503
259                4.9154474163         4.8697705905         4.3007762503
260                4.9154474163         4.8232133482         3.4045350332
261                4.9154474163         4.7691662007         3.6179361996
262                4.9154474163         4.7812825615         3.8945652648
263                4.9154474163         4.7741996706         3.7875168340
264                4.9154474163         4.8003680511         3.8945652648
265                4.9154474163         4.7933433916         3.8945652648
266                4.9154474163         4.8313337514         4.0313560925
267                4.9154474163         4.8671688713         4.5599887275
268                4.9154474163         4.8588946154         4.0929348899
269                4.9154474163         4.8498026260         4.0929348899
270                4.9154474163         4.8087160723         3.1939458779
271                4.9154474163         4.6846299881         3.1939458779
272                4.9154474163         4.8065373137         4.0270106738
273                4.9154474163         4.8035601464         3.9561440623
274                4.9154474163         4.8233089263         4.0929348899
275                4.9154474163         4.8555392819         4.4113753179
276                4.9154474163         4.8539472590         4.1141168940
277                4.9154474163         4.8159346998         3.9738341501
278                4.9154474163         4.8754983112         4.6467772037
279                4.9154474163         4.8514722833         4.2997161136
280                4.9154474163         4.8707043134         4.5099863761
281                4.9154474163         4.8395869051         4.1388196030
282                4.9154474163         4.8573156973         4.1388196030
283                4.9154474163         4.8535936053         4.1388196030
284                4.9154474163         4.8730106455         3.8945103416
285                4.9154474163         4.8462961602         4.2561354763
286                4.9154474163         4.8745306007         4.2145323844
287                4.9154474163         4.8828923562         4.1290773241
288                4.9154474163         4.9047310915         4.8791750907
289                4.9154474163         4.8718069420         3.9802914739
290                4.9154474163         4.8466418671         3.9802914739
291                4.9154474163         4.8837258733         4.0025430721
292                4.9154474163         4.8851197946         3.9546766920
293                4.9154474163         4.8455029527         3.6661155001
294                4.9268789796         4.8433830952         3.9546766920
295                4.9268789796         4.7544902437         3.9546766920
296                4.9268789796         4.7699447767         3.4438231800
297                4.9268789796         4.8026683273         3.9546766920
298                4.9268789796         4.7817340665         3.9546766920
299                4.9268789796         4.7878424121         3.4878699734
300                4.9268789796         4.8137469704         4.0822827593
301                4.9268789796         4.8156124816         4.0822827593
302                4.9268789796         4.8645597220         4.0822827593
303                4.9268789796         4.8017737671         3.9149814573
304                4.9268789796         4.7871483472         4.0117824962
305                4.9268789796         4.8333959491         3.1499004123
306                4.9268789796         4.6898323157         2.2471795181
307                4.9268789796         4.6572883175         3.1499004123
308                4.9268789796         4.7776318704         4.0046707354
309                4.9268789796         4.8184252418         3.9763767161
310                4.9268789796         4.7810805976         3.9763767161
311                4.9268789796         4.7912077982         3.9305766795
312                4.9268789796         4.8282043577         3.9763767161
313                4.9268789796         4.7936275887         3.9763767161
314                4.9268789796         4.7685391111         3.8664844391
315                4.9268789796         4.7598661697         3.8664844391
316                4.9268789796         4.8278767396         3.9763767161
317                4.9268789796         4.8637895248         4.4930443110
318                4.9268789796         4.8804141840         4.3565722463
319                4.9268789796         4.8369633657         3.3688365320
320                4.9268789796         4.8549923752         4.0045311403
321                4.9268789796         4.8894776084         4.6447009243
322                4.9268789796         4.8548680669         3.9274077660
323                4.9268789796         4.8876178666         4.4086942531
324                4.9268789796         4.8823334325         4.3771154607
325                4.9268789796         4.8995119724         4.7212335047
326                4.9268789796         4.8838615694         3.9709365014
327                4.9268789796         4.8840226851         3.9709365014
328                4.9268789796         4.8631820865         3.9709365014
329                4.9268789796         4.8585362077         3.9709365014
330                4.9268789796         4.8860248023         4.2332671627
331                4.9268789796         4.8945604365         3.9966152345
332                4.9268789796         4.8820033729         3.9378672408
333                4.9268789796         4.8772494719         4.2928722288
334                4.9268789796         4.8626630563         4.3250132798
335                4.9268789796         4.8545960874         3.9750266970
336                4.9268789796         4.8846737330         4.2043667143
337                4.9268789796         4.8448957637         4.0091707256
338                4.9268789796         4.8361893681         4.0172265122
339                4.9268789796         4.8535734719         4.0172265122
340                4.9268789796         4.8431810130         4.0172265122
341                4.9268789796         4.8808990274         4.6861022200
342                4.9268789796         4.8483626093         4.0464627002
343                4.9268789796         4.8750916696         4.4920036258
344                4.9268789796         4.8310493172         4.1375776182
345                4.9268789796         4.8372785690         3.9520827732
346                4.9268789796         4.8093144985         4.1375776182
347                4.9268789796         4.8264713150         4.1308535568
348                4.9268789796         4.7794659964         4.1308535568
349                4.9268789796         4.8015174073         4.1846179205
350                4.9268789796         4.8106908680         3.7734757196
351                4.9268789796         4.7995745109         3.9404224229
352                4.9268789796         4.7725568653         3.9404224229
353                4.9268789796         4.8389004807         4.1305283384
